,Body,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10,pcode1,pcode2,pcode3,pcode4,pcode5,pcode6,pcode7,pcode8,pcode9,pcode10
390,as we grow in size as a company there will be an ever increasing need to communicate interpret implement large scale decisions at the departmental and functional team levels at times there is a slowdown as to when staff learn from their dept functional teams how a decision impacts their work this can lead to staff seeking clarity faster beyond their org chart channels to learn things as fast as possible to learn the implications of decisions,8,12,13,54,,,,,,,13,54,,,,,,,,
391,sometimes the use of our people resources do not always make sense we will have some teams people in our department that are overworking and others that are underworking we need to have a better balance,52,,,,,,,,,,52,,,,,,,,,
392,how fast and how many people we are hiring are we growing too fast how often we reorganize our departments,13,52,54,,,,,,,,13,54,,,,,,,,
393,departments interview and hire differently consistency is needed,2,52,,,,,,,,,2,52,,,,,,,,
394,still if feels like upper leadership needs to have approval on most things even the small details or issues vps feel at times they need to have knowledge and decisions,70,,,,,,,,,,70,,,,,,,,,
395,group decisions not everyone fits inside a single box while some choice is given and you hear a lot about choice in large meetings on the smaller team level department leaders could do better,70,,,,,,,,,,52,70,,,,,,,,
396,people leadership,70,,,,,,,,,,70,,,,,,,,,
397,some of the recent menu updates i e one size for shakes speciality beverages were not well communicated to guests,8,,,,,,,,,,,,,,,,,,,
398,talent management system,2,,,,,,,,,,2,,,,,,,,,
399,how we talk about dei externally,69,,,,,,,,,,,,,,,,,,,
400,i would love for someone to look at cfa holistically and see if there are any efficiencies sometimes i think we structure our departments based on leadership some leaders hold tight to the way it s always been done while some want what s best for the future of the org we all spent a lot of time with the capabilities but then we never saw them again,52,70,,,,,,,,,52,70,,,,,,,,
401,trying to straddle our culture and our growth i don t think what makes cfa cfa is well defined and therefore any change is slow going,7,13,54,,,,,,,,13,54,,,,,,,,
402,the speed in which we are selecting staff being part of ta and watching people leave cfa with less than years on staff is evidence it was not a good fit we need to spend more time vetting and if we don t have enough time we need to slow down on permanent full time and hire more contingent our urgency to fill is impacting our rigor to make the right and best decision we have to become better before we become bigger,13,,,,,,,,,,13,,,,,,,,,
403,cfa inc could improve upon people decisions in the upper echelons of leadership not necessarily the quality of the leaders but we could have a greater focus on diversity of thought background ethnicity etc it would also be nice to understand why certain people decisions are made and why they re made at a specific time sometimes decisions can feel random and sudden,69,70,,,,,,,,,70,,,,,,,,,
404,speed to assist operators and launch productive tools to help team member complexity,13,53,,,,,,,,,13,53,,,,,,,,
405,headcount the amount of staff needed to execute our strategic bets,2,,,,,,,,,,2,,,,,,,,,
406,remote work satellite work options we may not feel that we re losing talent because of it and if we are everyone wants to work for cfa or they re just not sold out on cfa so it s not that big a deal but that feels really cavalier and not like us it shouldn t be a negative against someone or an indication that they wouldn t perform or be loyal and committed to cfa if they desire to work remotely for the majority or almost the entirety of their month and i m actually not one of those people i love the new hybrid model if we want to increase regional geographic diversity diversity of experience and even diversity of age we need to move towards being more be open to those who want and or need newer work models,2,69,,,,,,,,,2,69,,,,,,,,
407,we talk a lot about dei but there appears to be a lot of inequities when it comes to leveling and salaries there are staff with the same titles making more money just because of the team they are on or because of who they know can we start looking at equity in terms of pay,69,,,,,,,,,,,,,,,,,,,
408,this isn t a specific example but a culture of over preparedness excessive stakeholder management resonates with me i spend a lot of time pursuing excellence in all that i do which in theory that is a great value but i often feel too much pressure in this area,7,,,,,,,,,,7,,,,,,,,,
409,who becomes a people leader,70,,,,,,,,,,70,,,,,,,,,
410,speed of which decisions are made,13,,,,,,,,,,13,,,,,,,,,
411,diversity equity and inclusion there needs to be intentionality around selections to make leadership more diverse,69,,,,,,,,,,70,,,,,,,,,
412,official policy on degree s required for roles and how that affects the ability to move across the organization there is a lot of back and forth within talent experience talent acquisition and it creates confusion,2,,,,,,,,,,2,,,,,,,,,
413,budget we can be slow to fund initiatives bodies of work strategies that have longer term impact or that may impact support center staff specifically while i wholeheartedly understand why the support center exists and agree that we must serve and support our operators we sometimes seem to ignore those things that would help support staff not thinking about the fact that when staff has the resources budget people technology to do their jobs they can better support the operators,13,53,,,,,,,,,13,53,,,,,,,,
414,not enforcing or even encouraging in person work slow to return to the office results in lack of accountability productivity and creativity creates haves and have nots of those that need to come into the office for their roles office amenities and engagement are not as robust as when full staff is in attendance,13,,,,,,,,,,13,,,,,,,,,
415,i have not experienced having a strategic plan to guide prioritization decisions across different initiatives impacting the same audience such as staff and people leaders a suggestion would be to have sr leadership look at a roll up of all initiatives and prioritize the value created for vs effort required from impacted audiences,4,70,,,,,,,,,70,,,,,,,,,
416,ones that are politically sensitive with interpersonal ramifications eg flexible future is it principle based or a rule of days be clear vs vague where you are afraid your answers will polarize people or damage culture,7,12,,,,,,,,,7,,,,,,,,,
417,anything internal that may be perceived as tax to our culture if things don t go as planned average of days in office guideline took forever to get to the decision and it is not being reinforced consistently,7,,,,,,,,,,7,,,,,,,,,
418,making decisions about staff based on how it will make the operators feel we are here to support our operators but i don t feel we should have operators dictating decisions that impact staff we all work for chick fil a staff and operators,53,,,,,,,,,,53,,,,,,,,,
419,sometimes we can over science things especially in the talent department our leaders are leading already complex work sometimes i think we can help them cut through that complexity by bringing more simplicity to their people focused work,2,,,,,,,,,,2,,,,,,,,,
420,at times ec directives can be vague and not as clear some leaders struggle with operating in the gray and would rather the ec be more black and white example some leaders struggled with creating department cornerstones because they were comparing and contrasting with other departments do we track days in office days or not how many cornerstones should we have if we have too many staff will look for opportunities elsewhere,12,52,70,,,,,,,,52,70,,,,,,,,
421,the performance review process at cfa is very inconsistent across departments and sometimes within departments i think it is great that feedback is provided for not just the what was accomplished but how it was accomplished i think when it comes to the rating portion some departments weigh the how heavier than others since the how is the subjective part it seems like inconsistencies are more likely,3,52,,,,,,,,,52,,,,,,,,,
422,planning process the amount of initiatives efforts that are pushed through planning we need to consider the people impacts and capacity of these initiatives to include intended outcomes what does success look like and when we do perceive it being achieved who is impacted who will be asked to do something new and different and to what extent readiness is the organization ready to support this effort money time capacity of resources who will charged to execute it and resources and are our people able and ready to absorb adopt engage and own this new initiative do they have capacity to do so dependencies what are the dependencies of this effort on other efforts taking place now or others planned for the future these are just a few but our planning process has to shift and how we make decisions at the planning juncture has change and be aligned with the broader org business objectives in order to drive effective decision making to be effective at the leader mid level leader and staff level additionally when decision making and clarity it missing at the org planning level it has a direct impact on staff experience productivity role clarity role movement fatigue lack of capacity etc,54,,,,,,,,,,70,,,,,,,,,
423,understanding personal and team bandwidth to appropriately staff including vetted decisions about the efficiency of technology to ease the workload,6,,,,,,,,,,6,,,,,,,,,
424,our contracts process to engage with new vendors is incredibly slow many times we are needing the resource far before the process started and a months contract review period feels excessive,13,,,,,,,,,,13,,,,,,,,,
425,finding talent i have heard from several people that they are acting as their own recruiter we have lost several good candidates due to slow pace and also wasted time interviewing candidates when the recruiter has not clearly communicated expectations of the role the market is more competitive than ever and we need to be more organized and prepared once we are actively recruiting for open roles,2,8,12,13,,,,,,,2,,,,,,,,,
426,staffing levels to support the work with the business growing at the rate that it is there doesn t seem to be enough staff to support the growth even though there seems to be lots of hiring it seems we are behind and that staff are often over worked and or quality can suffer due to working at such a speed due to the workload,2,13,54,,,,,,,,13,54,,,,,,,,
427,understandably the employment market has changed however with the speed of growth and many departments bursting at the seams with added responsibilities for current staff there is room for growth with the speed at which new positions are approved to fill,13,52,54,,,,,,,,54,,,,,,,,,
428,legal decisions we approach a lot of our decisions with the intent of having risk without business value into consideration this slows down projects and can lead it in efficient processes and processes that are not scalable,13,,,,,,,,,,13,,,,,,,,,
429,systems the process to add a new system or change an existing system seems to take a considerable amount of time the number of communication vehicles we have to stay connected to one another are overwhelming i feel like i can never step away from work it is hard to keep up with the volume of email messages and messages in teams,6,8,,,,,,,,,,,,,,,,,,
430,prioritizing rollouts,4,,,,,,,,,,,,,,,,,,,
431,i think we still have work to do on the career opportunity clarity especially when it pertains to job levels and how those are vetted and decided,3,12,,,,,,,,,3,,,,,,,,,
432,very senior leaders ec spend too much time on decisions they don t need to be making i e facial hair policy,70,,,,,,,,,,70,,,,,,,,,
433,recognition and promotion of high performers,3,,,,,,,,,,,,,,,,,,,
434,more about speed of decision making who is involved and risk profile vs a particular type of decision,13,,,,,,,,,,13,,,,,,,,,
435,decisions that have a level of risk or unknown factors or that are too far outside of the box some decisions challenge the existing mental model for how cfa does work or what support looks like or to what extent the operators must be happy with it these decisions seem to challenge leaders,53,,,,,,,,,,53,,,,,,,,,
436,speed to market for innovation initiatives,13,,,,,,,,,,13,,,,,,,,,
437,operator selection for multi unit i spoke with an operator who attacked the operator agreement and the deal after the conversation i saw he received a second restaurant a few months prior he received what he wanted and he no longer had to pretend,53,,,,,,,,,,53,,,,,,,,,
438,middle to lower importance level of decisions at some point these decisions are made by middle managers but still require the sign off of a certain level of leadership leading to a lengtherier process,70,,,,,,,,,,70,,,,,,,,,
439,need to make decisions more quickly,13,,,,,,,,,,13,,,,,,,,,
440,cross departmental decision making there often is unclear decision making sponsorship on cross functional cross departmental projects,52,,,,,,,,,,52,,,,,,,,,
441,employee growth promotions promotion decision seem to be based on who is friends of the leader not on the work output it feels like who you know is more important than the work you do,3,54,70,,,,,,,,3,54,70,,,,,,,
442,the process needs to be faster more efficient,13,,,,,,,,,,13,,,,,,,,,
443,decision making gets clouded by relationships decisions are often made with a bias toward protecting the feelings of a few at great expense to the broader populations a number of people have expressed concerns to me about the influence that a handful of old guard operators and tenured staff have on senior leaders the squeaky wheel gets the grease even if the decision is not beneficial to the broader population,53,,,,,,,,,,53,,,,,,,,,
444,planning sequencing of events the quantity and organization of cross functional teams that slow down decision making treating headcount and budget totally separate,2,13,,,,,,,,,2,,,,,,,,,
445,we need to improve our decision making on how to build a business model of the future while also maintaining our secret sauce we need to determine how to keep operators engaged and the core of what we do but also adapt the operator model to develop a market ecosystem to allow for growth in the future right now those decisions are too slow or hesitant about true transition for the future,13,53,54,,,,,,,,13,53,54,,,,,,,
446,we could be better at making decisions more quickly where we re trying to test and learn,13,,,,,,,,,,13,,,,,,,,,
447,decisions around career bands leveling of roles this area needs a big check up across the business they are out of alignment within departments and teams and they are not consistent from department to department examples roles that evolved or have changed with increased responsibilities are not re leveled moving someone into a role and dropping the level that was previously at a higher level,3,52,,,,,,,,,52,,,,,,,,,
448,less of a meeting based culture where the majority of the day is spent in meetings,7,,,,,,,,,,7,,,,,,,,,
449,decisions about moving quickly to make sure the business is prepared for what customers want vs our competitors,13,53,,,,,,,,,13,53,,,,,,,,
450,short term priorities we say yes to a lot making it easy to feel overwhelmed,4,,,,,,,,,,,,,,,,,,,
451,leadership at various levels should continually assess what decisions they beee to be making vs delegating our svp shouldn t be making choices on font colors or k budget variances in this time of tremendous growth a d speed,13,54,70,,,,,,,,13,54,,,,,,,,
452,hiring diverse talent,2,69,,,,,,,,,2,,,,,,,,,
453,chick fil a could do a better job at making customer based decisions when it comes to the experience and design of programs,53,,,,,,,,,,53,,,,,,,,,
454,support for the current business today often times resources across the org are on the new and not here to help what we need today for operators this happens a lot with dtt partners,53,,,,,,,,,,53,,,,,,,,,
455,more room for growth within current leveling system,54,,,,,,,,,,54,,,,,,,,,
456,decisions that due to the culture require a lot of approvals up through leadership that create bureaucracy and stall those decisions for which timing is critical to executing there is a need for more understanding of decision autonomy,7,70,,,,,,,,,70,,,,,,,,,
457,consistency on job levels across the organization feels like there are inconsistencies on levels from one department to another,52,,,,,,,,,,52,,,,,,,,,
458,people leader decisions,70,,,,,,,,,,70,,,,,,,,,
459,we tend to be slower than the industry speed up decisions,13,,,,,,,,,,13,,,,,,,,,
460,decisions around clarity of ownership what team has the decision on what ast vs department vs strategic bet and audience teams,52,,,,,,,,,,52,,,,,,,,,
461,brand and business decisions chick fil a has experienced incredible success by doing the things that don t always make the most cents closed on sundays operator agreement emphasizing hospitality etc but those moved have proven to be incredibly valuable for our brand i have experienced a greater swing towards prioritizing the cents over the brand heart piece and while both are incredibly important i don t want us to lose that ability to make brand and business decision,4,53,,,,,,,,,53,,,,,,,,,
462,dei decisions and impact most staff understand that change will take time they are appreciative for the steps that have been taken they are also keenly aware of what has not been done decisions that have not been made and actions that appear symbolic versus having any real impact ex dei officer but no official affinity groups,69,,,,,,,,,,,,,,,,,,,
463,diversity of senior leadership within departments,52,69,70,,,,,,,,52,70,,,,,,,,
464,communication to teams prior to leadership moves before they are shared with inc an hour before announced to inc is not helpful or kind,8,70,,,,,,,,,70,,,,,,,,,
465,making sure that when launching a new system like the talent restructure that all people leaders have answers to questions that may arise from staff numerous times we have done this type of thing and i have asked my leadership questions and they say they have no idea it is very frustrating especially when you are given an email address for addressing questions and the answer is to ask your leadership but you already have and they don t have the answer,2,6,70,,,,,,,,2,70,,,,,,,,
466,inclusion of diverse leading sponsoring diverse leaders from all backgrounds not just african americans but also asians and hispanics using hr analytics to make decisions on who gets promoted or tapped for big projects instead of just relying on who knows what taking a bet on diverse leaders and growing them and not just growing only certain types of leaders,3,69,70,,,,,,,,3,70,,,,,,,,
467,we need to become more comfortable moving forward with decisions without getting feedback and changes from an extensive network getting feedback and buy in is good but our decision making is slow due to having to check with so many people first,13,,,,,,,,,,13,,,,,,,,,
468,zero waste to landfill efforts at support center and restaurants,53,,,,,,,,,,53,,,,,,,,,
469,decisions on leveling of roles the total rewards team does a great job of trying to be responsive but there is still a lack of clarity on levels and that seems to mean decisions on leveling of a role take too long,12,,,,,,,,,,,,,,,,,,,
470,people movement consideration is not taken to the impact of the team to put in new leaders every two years,70,,,,,,,,,,70,,,,,,,,,
471,building all aspects of diversity,69,,,,,,,,,,69,,,,,,,,,
472,tactical decisions how things will get done when moving fast or slow when moving fast important to not move too fast and miss something important or have to do rework later when moving slow important to know when to pivot as internal and external factors change,13,,,,,,,,,,13,,,,,,,,,
473,visibility into career opportunities after level,3,,,,,,,,,,3,,,,,,,,,
474,earlier communication of org planning timelines,8,,,,,,,,,,,,,,,,,,,
475,generally the speed at which decisions happen there needs to be clearer ownership of decision rights as many decisions go through lots of rounds of meetings to get input from tons of stakeholders that do not own the decision,13,,,,,,,,,,13,,,,,,,,,
476,talent management system the ability to earn promotions and advance career is difficult work changes continuously for staff and people levels adjust often without pay increases certain levels are given the opportunity to grow and be moved in the org while other levels have to apply for positions we are eager to attract talent from the outside before trying to grow and promote from within many of the open positions are becoming very niched which don t allow for many long term growth options,2,3,54,,,,,,,,2,3,54,,,,,,,
477,speed to market decisions,13,,,,,,,,,,13,,,,,,,,,
478,acknowledging distinction between staff roles and operators,53,,,,,,,,,,53,,,,,,,,,
479,diversity equity inclusion,69,,,,,,,,,,69,,,,,,,,,
480,role leveling and promotions,3,,,,,,,,,,3,,,,,,,,,
481,decisions that have a tradeoff between customers and restaurant complexity as i feel that we often swing from one side of the pendulum to the other depending on who we are hearing from most loudly at the moment,53,,,,,,,,,,53,,,,,,,,,
482,seems to be a lot of lack of credibility trust with respect to how well due diligence is done within strategic reinvestment facilities equipment teams as they allocate their resources many operators don t feel the front lines of this team understands the operator model well nor listen well,53,,,,,,,,,,53,,,,,,,,,
483,diversity equity and inclusion goals and implementation speed,13,69,,,,,,,,,,,,,,,,,,
484,we struggle with short term decisions for example taking a menu item to test only to wait for months maybe even years before making a decision we do not pivot or say no quickly,13,,,,,,,,,,13,,,,,,,,,
485,talent management speed to hire can be lagging and sequencing of roles makes it difficult to get to the top of the queue,2,13,,,,,,,,,2,,,,,,,,,
486,innovation decisions that evolve operations or technology quickly,6,13,,,,,,,,,6,13,,,,,,,,
487,career advancement should based off skill set of individual performance and less on who you know,3,,,,,,,,,,3,,,,,,,,,
488,speed to decision,13,,,,,,,,,,13,,,,,,,,,
489,remote work and how it impacts different demographics within the company many decisions seem to be geared to people in traditional family units and doesn t seem to be inclusive of single people etc,69,,,,,,,,,,,,,,,,,,,
490,clarity around approval process as it relates to external affairs essentially what we are and are not willing to communicate externally and sharing the why with the team working on those communications to help develop understanding,8,12,,,,,,,,,,,,,,,,,,
491,inclusiveness the culture can sometimes make you feel like you are not a part of the business,7,69,,,,,,,,,7,69,,,,,,,,
492,while leadership appointments are great i wish they were more diverse race ethnicity gender etc if we don t have a diverse pool we re choosing from internally then we should be open to hiring externally for leadership positions not just for mid to lower level roles we have culture that places a high value on tenure when determining who has the authority and respect to make decisions,7,69,70,,,,,,,,70,,,,,,,,,
493,the way senior level leaders get pulled into and involved with other group s conversations and decisions with operators because that leader and operator have a long standing relationship,53,70,,,,,,,,,53,,,,,,,,,
494,decisions need to be made faster operators are begging for solutions that impact them daily decision making needs to be pushed down to the people closest to the work that best understand how the work influences there should be a governor perhaps like a budget amount and if a decision falls under that amount let the department leaders approve without it having to go to the ec,13,53,,,,,,,,,13,53,,,,,,,,
495,there is a disconnect on the projects that get approved and the resources to support them i would love to see the business plan process better tie the two together especially when it comes to prioritization of the new hc approvals the project may be a high priority work but then the hc may not get the same prioritization to support the work we have made great strides here but still could continue to work to improve this link,4,,,,,,,,,,,,,,,,,,,
496,what communication tools platforms programs to use as many options are available we have implemented so many that much time is spent trying to find where original communication or file lives example did it come from an email a text teams chat tools v mail was it on zoom bluejeans teams mtg or other again much time is wasted trying to find the mode of communication pick one and everyone use it we d be faster and have clarity,8,13,,,,,,,,,13,,,,,,,,,
497,resources to support work how head count is decided and prioritized,2,4,,,,,,,,,2,,,,,,,,,
498,decisions that prioritize the customer needs for the long term and allocating resources toward planning for those needs i e technology solutions new ventures,6,53,,,,,,,,,53,,,,,,,,,
499,there are some decisions that do not feel right for all guests operators and the business specifically legislated issues that challenge our legacy one example is the foam cup it s beloved and part of truett s original experience its also a great cup thats cost effective but due to rising legislation and suppliers exiting foam production there is substantial risk to our supply and brand how can we effectively respond to change that is necessary for the business even if unpopular,53,,,,,,,,,,53,,,,,,,,,
500,continue to stay away from political and cultural movements in the news these matters are divisive and do not reflect the company s stated values,7,,,,,,,,,,7,,,,,,,,,
501,team member based,53,,,,,,,,,,53,,,,,,,,,
502,quicker turn around on some decision making,13,,,,,,,,,,13,,,,,,,,,
503,capacity store level,54,,,,,,,,,,,,,,,,,,,
504,speed to decisions feels like a lot of people have to speak into a decision,13,,,,,,,,,,13,,,,,,,,,
505,sometimes what should be easy decisions based on all the evidence and data feel like they need to receive unnecessary levels of leadership buy in which slows things down and makes things that feel like they should be a home run be delayed and cumbersome,13,,,,,,,,,,13,,,,,,,,,
506,name,13,,,,,,,,,,,,,,,,,,,
507,low risk decisions ex changing a minor menu ingredient or aspect of our website it requires too many steps or approval low risk decisions are often given the same gauntlet of approvals as high risk decisions i think this is rooted in leadership needing to be able to defend decisions this being a successful beloved family owned company everyone feels the great pressure to not mess up the incredible legacy we have we need clarity about what low risk high risk decisions are,12,,,,,,,,,,,,,,,,,,,
508,chick fil a needs to improve on the speed in which decisions are made although we ve been asked to be nimble and to take risks it doesn t resonate with every individual and every department too many different leadership teams are needed in order to make a decision on something,13,52,,,,,,,,,52,,,,,,,,,
509,creating an environment of growth across all teams at the support center and in our restaurants,53,54,,,,,,,,,53,54,,,,,,,,
510,manpower decisions,2,,,,,,,,,,2,,,,,,,,,
511,having a clear dei strategy and framework seems to be taking a while which creates concern that the company is not giving proper focus on this area,12,69,,,,,,,,,,,,,,,,,,
512,decisions where different departments have opposite opinions for example if operations wants more throughput but risk feels this is too much for team members to handle cfa does not do a good job of reaching a decision and projects tend to end up in limbo,52,53,,,,,,,,,52,,,,,,,,,
513,ones that would provide immediate restaurant level impact,53,,,,,,,,,,53,,,,,,,,,
514,decisions that allow for diversity growth,54,69,,,,,,,,,,,,,,,,,,
515,hiring decisions diversity we just hired people to the dept and none were minorities and these hiring decisions were made after we were told there would be an intentional change to hiring,2,69,,,,,,,,,2,,,,,,,,,
516,credentials for hiring hire more people that can be leaders versus solely subject matter experts,70,,,,,,,,,,70,,,,,,,,,
517,i believe cfa needs to be careful not to bend to the pressures of the outside influences to be like other so called successful well known businesses sometimes i believe decisions are made for those reasons therefore bending the core principles that have been once exposed shared has hard fast business decides and yet don t seem to align,13,,,,,,,,,,13,,,,,,,,,
518,hiring decisions mostly around length of time,2,,,,,,,,,,2,,,,,,,,,
519,name,2,69,,,,,,,,,,,,,,,,,,
520,account inflation into decision making with the current inflation rate if inc can leverage good debt to accelerate technology business growth and talent would help us win long term,2,6,54,,,,,,,,2,54,,,,,,,,
521,customer facing changes menu deletions may be driving some customers away,53,,,,,,,,,,53,,,,,,,,,
522,funding and resources for departmental level needs less strategic but still critical infrastructure,52,,,,,,,,,,52,,,,,,,,,
523,those that have impacts to the organization working well together and directly on the people in the organization ensure those being affected are properly included in the process for example the setting of role levels it s my understanding the levels for my team were set without consulting my people leader the director of our team was not asked about what exactly everyone on the team does day in and day out the impacts influence of the roles etc this has caused issues not just for our team but others across the business for our team there were several consequences several on the team did not feel their work was properly honored by the organization there was a lot time wasted by the leadership team as we followed the proper channels to pushback on the leveling lastly the leveling made it difficult to attract the right level talent to our team from across the organization for example a field consultant makes for a great fit for a role on our team but they would have to take a level or two down to join our team to do work as impactful or more impactful than they are doing as a field consultant,2,,,,,,,,,,2,,,,,,,,,
524,funding of work and the need to move quicker,13,,,,,,,,,,13,,,,,,,,,
525,promotions and succession planning at mid level level decisions feel a bit arbitrary and based on personal relationships closest to the open position vs looking at a broad group of candidates that may be best for the role,2,3,,,,,,,,,2,3,,,,,,,,
526,leadership development at lower levels more mid level leadership roles clearer communication of potential next steps in certain departments and career paths,3,8,12,70,,,,,,,52,70,,,,,,,,
527,provide clarity for growth opportunities for staff especially with the relatively new leveling process as it is very unclear,12,54,,,,,,,,,54,,,,,,,,,
528,increase investment in technology customers want more capability in the palm of their hand and we need to be a leader in this area not a slow follower,6,13,53,,,,,,,,13,,,,,,,,,
529,decisions that meet a current restaurant painpoint without the need to deliver a perfect solution that takes too long but instead a bronze solution with additional enhancements,53,,,,,,,,,,53,,,,,,,,,
530,how do we get bronze level solutions out to restaurants faster,13,53,,,,,,,,,13,53,,,,,,,,
531,decisions that are driven by a few influential operators versus a more representative set of operators,53,,,,,,,,,,53,,,,,,,,,
532,ensure decisions that are made to ease operation do not negatively impact the customer or team member i e milkshake size simplification,53,,,,,,,,,,53,,,,,,,,,
533,people decisions specifically promotions there is lack of clarity in the process,3,12,,,,,,,,,3,,,,,,,,,
534,i am new to marketing department so i can t speak well to that just yet i do know that in my previous department i think empowering and trusting teams to make decisions quickly bypassing hierarchy and red tape i think we can activate on work quicker and better,13,,,,,,,,,,52,,,,,,,,,
535,chick fil a needs to improve on making decisions on remote working there are a lot of employees who have moved out of state that are struggling to understand the future of their careers,3,,,,,,,,,,,,,,,,,,,
536,i think the speed at which they make decisions could be improved,13,,,,,,,,,,13,,,,,,,,,
537,we need to be more effective in our decisions around capacity in the restaurants we are always behind on these issues and it is affecting operators team members and the organization,53,54,,,,,,,,,53,,,,,,,,,
538,the headcount request process can be very confusing here positions do not appear to be linked to budget all hc seem to be weighted equally so a request for a level counts as hc just as a request for a level even though the cost would vary significantly also it would be helpful to have additional categories of staff such as part time or temporary labor rather than having longer term third party workers in some cases lastly there was a lot of work on understanding headcount drivers a couple of years ago but it is not clear to me how that work has translated into the hc request process,2,,,,,,,,,,2,,,,,,,,,
539,decisions where objectivity and transparency are more beneficial holding key relational partners accountable to the market supply sometimes decisions are difficult and require putting aside emotions even just to validate existing partners there are also lots of unsaid norms that aren t clearly communicated and we try to be objective but the subjectivity comes out after effort has been expended unnecessarily,8,12,,,,,,,,,,,,,,,,,,
540,any decision to be made at the departmental level and below that relates to efficiency most staff members i know could tell you in under five minutes two things that would make their job more efficient without sacrificing quality or stewardship,52,,,,,,,,,,52,,,,,,,,,
541,i think there are lots of decisions made for short term results at the expense of long term sustainability particularly in the digital space having frank conversations about expectations priorities and timelines would help with this,4,,,,,,,,,,,,,,,,,,,
542,decide to give clearer answers when pressed for anti lgbtq history or related donations this is really holding us back from a staff recruitment and customer loyalty perspective can we finally throw off this yoke if we want to extend honor dignity and respect to everyone we need to say unequivocally that we do not support organizations that seek to undermine lgbtq rights period,12,69,,,,,,,,,53,,,,,,,,,
543,i think the cfa could improve on how technology resources are brought to awareness of staff a lot of times i don t know what tools we have cfa needs to improve on having more uniform resources across all departments everything is so segmented like each group is on it on island,6,52,,,,,,,,,52,,,,,,,,,
544,work prioritization too many projects get approved and there is not sufficient oversight to ensure projects not formally approved by leadership are not moving forward and taking time away from important projects,4,,,,,,,,,,,,,,,,,,,
545,growth pace can outpace staff capacity,54,,,,,,,,,,13,54,,,,,,,,
546,decisions involving different teams stakeholders can be slow,13,,,,,,,,,,13,,,,,,,,,
547,decisions affecting multiple business constituents at times lack coordination for example testing of a new potential scheduling software in cor or other company owned restaurants may have implications for operators that are unique and different but which might not be considered on the front end,53,,,,,,,,,,53,,,,,,,,,
548,with the fast paced nature of the market sometimes it appears as though decisions are made without the full consideration onboarding of the supporting infrastructure resources it systems staffing and workload etc,2,13,,,,,,,,,,,,,,,,,,
549,decisions regarding operator autonomy,53,,,,,,,,,,53,,,,,,,,,
550,decisions related people it does not seem that people leaders are always involved in decisions relating to promotions leveling,3,70,,,,,,,,,3,70,,,,,,,,
551,while cfa should always consider operators restaurants first we need serious help with our infrastructure at the support center technology needs may be approved but partnering with internal resources like dtt can be challenging because everyone is strapped for resources,6,53,,,,,,,,,53,,,,,,,,,
552,more accelerated process for onboarding staff needed for the exponential growth of the company,54,,,,,,,,,,13,54,,,,,,,,
553,the contingent worker program is unclear and seems inefficient for all involved cfa has to continue to hire and train new workers and the contractors are out of a job on a yearly basis for a company that prides itself on caring for others how does this program demonstrate care,12,,,,,,,,,,,,,,,,,,,
554,team continuity when various departments have representatives on certain teams each department transitioning people on and off those teams at different times in close succession can be disruptive to working efficiently,52,,,,,,,,,,52,,,,,,,,,
555,a more cohesive approach to technology tools for project management and insights is needed,6,,,,,,,,,,6,,,,,,,,,
556,with the exponential growth of various departments at cfa cfa needs to improve how it allocates space at the support center many departments have far outgrown the space dedicated to them more than years ago making it difficult for staff to secure desirable work space and interface with colleagues for instance if half of the staff within my department come to the support center our area will be over crowded,52,54,,,,,,,,,52,,,,,,,,,
557,in light of the size of the organization chick fil a could improve the speed at which we make decisions we value collaboration which is generally great but it can slow down the decision making process,13,,,,,,,,,,13,,,,,,,,,
558,bureaucracy gets in the way of effective decision making the rapid growth we ve experienced in recent years plus the constant restructure and re organization that happens across the business adds a significant amount of time to decision making for the simple fact that it takes a while to determine who should make the decision and if the person is new that person has to get up to speed before weighing in,13,54,,,,,,,,,13,54,,,,,,,,
559,decisions that require more staff than we have to do it well like opening more restaurants than we have principal construction leads to oversee them all,53,,,,,,,,,,53,,,,,,,,,
560,allocation of new hire positions amongst the company often times it feels like certain departments get more positions and the other departments do not get the same positions and then it s not balanced to handle the influx of work,2,,,,,,,,,,52,,,,,,,,,
561,with the growing need of operators chick fil a inc needs to add more members to some of its corporate team in order to better support,2,53,,,,,,,,,53,,,,,,,,,
562,decisions around approaches to handling cultural issues,7,,,,,,,,,,,,,,,,,,,
563,decisions that involve trade offs occasionally senior leaders need to prioritize or sequence work but due to realities it can be challenging to make the decision,4,,,,,,,,,,70,,,,,,,,,
564,sequencing of major projects and change initiatives i cannot absorb any more ways of working changes even when they are improvements expenses invoices changed workday changes learning beeline campus is new printer changes tech support changes ms teams changes and all of this isn t even the work projects we are delivering to operators team members and customers i wish there was more air traffic control,53,,,,,,,,,,53,,,,,,,,,
565,headcount allocation,2,,,,,,,,,,2,,,,,,,,,
566,restaurant reinvestment speed decisions,13,53,,,,,,,,,13,53,,,,,,,,
567,the speed at which we make decisions should be improved,13,,,,,,,,,,13,,,,,,,,,
568,leadership disruptions timing and impact of moving talent around,2,70,,,,,,,,,2,70,,,,,,,,
569,decisions and policies made at the highest level are made quickly and efficiently but it seems to get bogged down once it moves down a level or two decision paralysis seems to continue be a problem with some groups,13,,,,,,,,,,13,,,,,,,,,
