,Id,Body,Clean_Body,tags
283,628,Don't immediately give operators what they're asking for. We don't have to say yes to everything.,don t immediately give operators what they re asking for we don t have to say yes to everything,[53]
284,630,Technology & software needed for various departments/roles,technology software needed for various departments roles,[6]
285,631,"They are way too involved in politics and political correctness than running a chicken company.  We are losing the core of who Chick-fil-A is and conforming to something that every other company is.  There isn't much that is special about the CFA culture anymore versus any other large company at this point.  They are regurgitating what the politicians and lined pockets are saying and not looking at the reality of the situations and facts, and trying to do what's popular.  How any of this is being handled (the Support Center and JCCC) are not popular opinion.  They're just the mainstream media (loud) opinion.",they are way too involved in politics and political correctness than running a chicken company we are losing the core of who chick fil a is and conforming to something that every other company is there isn t much that is special about the cfa culture anymore versus any other large company at this point they are regurgitating what the politicians and lined pockets are saying and not looking at the reality of the situations and facts and trying to do what s popular how any of this is being handled the support center and jccc are not popular opinion they re just the mainstream media loud opinion,[7]
286,634,"How to move work forward faster and get approval for items that have a long term impact to budget.  If something is not critical, but is beneficial, sometimes it gets pushed to the bottom of the priority.  I do think dynamic resourcing and givebacks have begun to help change this.",how to move work forward faster and get approval for items that have a long term impact to budget if something is not critical but is beneficial sometimes it gets pushed to the bottom of the priority i do think dynamic resourcing and givebacks have begun to help change this,[13  4]
287,646,"Chick-fil-A, Inc. needs to improve decisions that affect individuals beliefs. I understand the requirements when it comes to follow rule set in place that we cannot avoid, but the messages and temperament of the leaders communicating things can improve. A specific example, is when Dan recorded a video from a funeral, basically shaming people into getting the vaccine. It was not received well by some, in his message, Dan choose some poor words around ""if this person was vaccinated, he may still be with us"". I thought that was very poorly said. It made me think that Dan had given up on trusting in God's plans and his faith to rely on medicine.",chick fil a inc needs to improve decisions that affect individuals beliefs i understand the requirements when it comes to follow rule set in place that we cannot avoid but the messages and temperament of the leaders communicating things can improve a specific example is when dan recorded a video from a funeral basically shaming people into getting the vaccine it was not received well by some in his message dan choose some poor words around if this person was vaccinated he may still be with us i thought that was very poorly said it made me think that dan had given up on trusting in god s plans and his faith to rely on medicine,[8]
288,652,"the next level down below EC/Officers: Better communicate, share decisions within strategic bets' programs of work or departments; initiatives/programs/projects that may impact other groups/departments.",the next level down below ec officers better communicate share decisions within strategic bets programs of work or departments initiatives programs projects that may impact other groups departments,[70 52  8]
289,654,"Less emphasis on constant long term planning. The past 2 years are evidence that we need to build in flexibility and not be so rigid. Also, plans always change in work priorities.",less emphasis on constant long term planning the past years are evidence that we need to build in flexibility and not be so rigid also plans always change in work priorities,[4]
290,655,"We were too slow on allowing facial hair and now we are being too slow on ""professional attire"" at the office. Quite frankly, I don't care if the person across the table from me is wearing jeans or slacks - it doesn't change anything about my life or my interaction with them. Let staff dress for their day at both home and the office. Considering the war on talent, this seems like an unnecessary potential detractor for some talent. Why make it harder than it needs to be?",we were too slow on allowing facial hair and now we are being too slow on professional attire at the office quite frankly i don t care if the person across the table from me is wearing jeans or slacks it doesn t change anything about my life or my interaction with them let staff dress for their day at both home and the office considering the war on talent this seems like an unnecessary potential detractor for some talent why make it harder than it needs to be,[69]
291,660,"I would say Chick-fil-A needs to make decisions quicker. It takes leadership so long to make decisions some times that by the time the execution teams know what to do, it's stressful and produces lower quality work as the estimated time to completion is expected to make up for all the lost time decision making.",i would say chick fil a needs to make decisions quicker it takes leadership so long to make decisions some times that by the time the execution teams know what to do it s stressful and produces lower quality work as the estimated time to completion is expected to make up for all the lost time decision making,[13 70]
292,661,"system updates - some systems are updated or completely retired without proper testing, resulting in issues in the field when changes are pushed to production. These changes are often not communicated well to all affected departments (especially to CFA HELP), significantly increasing the time to identify and fix issues when they do happen.",system updates some systems are updated or completely retired without proper testing resulting in issues in the field when changes are pushed to production these changes are often not communicated well to all affected departments especially to cfa help significantly increasing the time to identify and fix issues when they do happen,[6 8]
293,662,Help bridging the Operator/Staff relationship,help bridging the operator staff relationship,[53]
294,666,"Strategic decisions, especially with regard to the number of priorities.",strategic decisions especially with regard to the number of priorities,[4]
295,667,enable tactical teams to move quickly,enable tactical teams to move quickly,[13]
296,668,We have too many priorities.,we have too many priorities,[4]
297,670,Decisions that impact multiple departments (require alignment),decisions that impact multiple departments require alignment,[52]
298,672,"Internal mid to low level HR decisions, such as hiring decisions, promotions, minor org structure changes. Often each of these are plagued by taking to long or by being too complex or unclear.",internal mid to low level hr decisions such as hiring decisions promotions minor org structure changes often each of these are plagued by taking to long or by being too complex or unclear,[2 3]
299,674,"Tactically/ day-to-day, Chick-fil-A should be able to pivot & re-allocate resources to meet the ever changing needs of the business more quickly",tactically day to day chick fil a should be able to pivot re allocate resources to meet the ever changing needs of the business more quickly,[13]
300,686,"Requiring deep, robust business cases for approval of budget above certain thresholds (we get money way too easily to ""solution"" things that may not be most important to Operators or the broader organization)",requiring deep robust business cases for approval of budget above certain thresholds we get money way too easily to solution things that may not be most important to operators or the broader organization,[53]
301,688,"1. We take too long to roll out initiatives that are needed to ease the burden of the labor shortage, reduce complexity, increase capacity and improve the Team Member experience in Restaurants.",we take too long to roll out initiatives that are needed to ease the burden of the labor shortage reduce complexity increase capacity and improve the team member experience in restaurants,[53 54]
302,690,"Operator centric versus Staff centric decisions.  For example, in restaurant day isn't effective for staff and not really for Operators.  We need to openly acknowledge that these are two separate roles and their are Pros and Cons associated with each.  We don't ask Operators to work alongside our Legal team when negotiating a contract.  I truly believe Staff and Operators have an appreciation for our different roles.  What is lacking is we no longer have relationships.  I'd rather see us ask Staff to take an Operator to dinner and get to know them than ""work"" an in unit day.  We've lost personal relationships and with that empathy and grace.",operator centric versus staff centric decisions for example in restaurant day isn t effective for staff and not really for operators we need to openly acknowledge that these are two separate roles and their are pros and cons associated with each we don t ask operators to work alongside our legal team when negotiating a contract i truly believe staff and operators have an appreciation for our different roles what is lacking is we no longer have relationships i d rather see us ask staff to take an operator to dinner and get to know them than work an in unit day we ve lost personal relationships and with that empathy and grace,[53]
303,692,"job leveling.  Even though we say ""It's the role, not the person"" there was recently a candidate that was dropped down 2 levels due to experience.",job leveling even though we say it s the role not the person there was recently a candidate that was dropped down levels due to experience,[2]
304,693,More rigor around approving headcount - is every role being added warranted to support the business? What happens when sales growth slows and the discipline isn't in place?,more rigor around approving headcount is every role being added warranted to support the business what happens when sales growth slows and the discipline isn t in place,[ 2 54]
305,694,"Promotion and advancement decisions toward staff.  The pendulum has swung way too far in the direction of catching up with gender and race to the detriment of long-standing, high-performing staff who just are minorities.",promotion and advancement decisions toward staff the pendulum has swung way too far in the direction of catching up with gender and race to the detriment of long standing high performing staff who just are minorities,[ 3 69]
306,696,Job leveling is a good example of where the process can improve.  Very unclear on the why most times.  Very inconsistent.,job leveling is a good example of where the process can improve very unclear on the why most times very inconsistent,[12]
307,698,How do we create systems to meet the demands of our growth?,how do we create systems to meet the demands of our growth,[54]
308,702,investment in talent,investment in talent,[2]
309,703,Some decisions with respect to DTT software/tools/access seem to be made based on job titles or organizational structure instead of being made with respect to the job that needs to be accomplished,some decisions with respect to dtt software tools access seem to be made based on job titles or organizational structure instead of being made with respect to the job that needs to be accomplished,[6]
310,704,Organizational moves/changes have improved but still need to move more quickly in some instances.,organizational moves changes have improved but still need to move more quickly in some instances,[13]
311,705,Speed in making decisions that affect change at the restaurant level,speed in making decisions that affect change at the restaurant level,[53 13]
312,706,"Supply Chain. Moving product, suppliers, distribution centers, transportation, delivery to Restaurants.",supply chain moving product suppliers distribution centers transportation delivery to restaurants,[53]
313,708,"The budget system, getting quicker to adjust budgets based on need.",the budget system getting quicker to adjust budgets based on need,[13]
314,709,Selecting people leaders.,selecting people leaders,[70]
315,711,Hiring process. It is very fast now. We need to make sure we take the time to hire the right talent.,hiring process it is very fast now we need to make sure we take the time to hire the right talent,[13  2]
316,714,Diversity Equity and Inclusion- need to decide to be actively engaged. The program has been a disappointment because there are no identifiable concrete actions,diversity equity and inclusion need to decide to be actively engaged the program has been a disappointment because there are no identifiable concrete actions,[69]
317,715,Sometimes finding the right people/team/department for the right work.  Role clarity would help out tremendously here.,sometimes finding the right people team department for the right work role clarity would help out tremendously here,[52]
318,717,Staff promotions,staff promotions,[3]
319,721,"Specification updates and onboarding new suppliers. We cannot take over a year to update specifications. We cannot take 6 months or more to onboard a supplier, especially not at our current growth rate.",specification updates and onboarding new suppliers we cannot take over a year to update specifications we cannot take months or more to onboard a supplier especially not at our current growth rate,[54]
320,722,Responsibilities for new roles as we continue to expand due to the hyper growth.,responsibilities for new roles as we continue to expand due to the hyper growth,[54]
321,724,Some departments are behind and it has taken extreme Operator frustration or crisis to prioritize their investment. e.g. DTT and Supply Chain have needed additional investment over the years and are now catching-up.,some departments are behind and it has taken extreme operator frustration or crisis to prioritize their investment e g dtt and supply chain have needed additional investment over the years and are now catching up,[53 52  4]
322,726,Being more open to non-cookie cutter Chick-fil-A type people when assessing external talent.,being more open to non cookie cutter chick fil a type people when assessing external talent,[2]
323,727,It seems like we are making decisions to grow / build more restaurants quicker than we should... in conversations with Operators I interpret that Operators feel that we should slow down some and many feel pressure that they will have to become multi restaurant Operators.,it seems like we are making decisions to grow build more restaurants quicker than we should in conversations with operators i interpret that operators feel that we should slow down some and many feel pressure that they will have to become multi restaurant operators,[53 13 54]
324,729,"Stewardship decisions.  There doesn't appear to be a lot of scrutiny around bodies of work within CFA that get disproportionate amount of investment, i.e. where/what is the ROI on dollars and headcount?  It should be shared with Staff and Operators, both to make them aware, but to also hold stakeholders accountable to hitting goals and objectives.",stewardship decisions there doesn t appear to be a lot of scrutiny around bodies of work within cfa that get disproportionate amount of investment i e where what is the roi on dollars and headcount it should be shared with staff and operators both to make them aware but to also hold stakeholders accountable to hitting goals and objectives,[53  2]
325,732,Contingent suppliers and additional lines to support or protect growth,contingent suppliers and additional lines to support or protect growth,[54]
326,733,"It doesn't appear we are hiring employees like we did in the past, sometimes in conversations I wonder ""who are we hiring.""  A lot of the new hires don't understand the CFA culture (challenging when we are not in the office), but it's a key part of who we are and we need to do a better job at allowing new employees to see and understand it.",it doesn t appear we are hiring employees like we did in the past sometimes in conversations i wonder who are we hiring a lot of the new hires don t understand the cfa culture challenging when we are not in the office but it s a key part of who we are and we need to do a better job at allowing new employees to see and understand it,[2 7]
327,734,"Grace - often spoken highly about as a strength, but is not always extended in practice. Failures and mistakes carry a LONG memory within CFA and will limit opportunities to grow and advance, even after years of positives and improvements.",grace often spoken highly about as a strength but is not always extended in practice failures and mistakes carry a long memory within cfa and will limit opportunities to grow and advance even after years of positives and improvements,[3]
328,738,"Non-Executive Leadership Placements (just because some people are great team members, doesn't mean they will be effective team leaders)",non executive leadership placements just because some people are great team members doesn t mean they will be effective team leaders,[53]
329,740,Red tape around back of house decisions (i.e. do we test this or is more work needed) on small changes that will improve team member experience and have no visible effects to the guests. Need to be able to quickly pivot to give Operators/TMs relief.,red tape around back of house decisions i e do we test this or is more work needed on small changes that will improve team member experience and have no visible effects to the guests need to be able to quickly pivot to give operators tms relief,[53 13]
330,742,We need to bring things to market more quickly.  Time from inception to rollout is often far too long.,we need to bring things to market more quickly time from inception to rollout is often far too long,[13]
331,745,What type of decisions require management approval.  This seems to vary by department.,what type of decisions require management approval this seems to vary by department,[52]
332,746,Creating a more progressive talent development/management system.,creating a more progressive talent development management system,[2]
333,750,"It feels like we've gotten a little sloppy on hiring decisions. We're trying to go faster because we're growing and need more people, but let's not forget quality is still very important.",it feels like we ve gotten a little sloppy on hiring decisions we re trying to go faster because we re growing and need more people but let s not forget quality is still very important,[13  2 54]
334,751,"Vertical integration and risk to culture, partner relationships, and financial perfromance.",vertical integration and risk to culture partner relationships and financial perfromance,[7]
335,752,New systems and technology that are needed for better productivity.,new systems and technology that are needed for better productivity,[6]
336,754,How we make leadership decisions is secretive and doesn't help people feel confident about their careers.,how we make leadership decisions is secretive and doesn t help people feel confident about their careers,[70  3]
337,757,"A more holistic and futuristic view of how the Organization will best support/drive the most important initiatives (Strategic Bets/Growth opportunities) to include how it is structured and how work is done and flows across functions, people, departments to ensure we are spending our time and energy on what is most important and will most positively affect the entire business so that people feel more empowered and less frustrated and know that what that are doing is adding value and operate at their best/maximum  productivity.",a more holistic and futuristic view of how the organization will best support drive the most important initiatives strategic bets growth opportunities to include how it is structured and how work is done and flows across functions people departments to ensure we are spending our time and energy on what is most important and will most positively affect the entire business so that people feel more empowered and less frustrated and know that what that are doing is adding value and operate at their best maximum productivity,[54]
338,765,Promotions that allow for process input and judgment input.,promotions that allow for process input and judgment input,[3]
339,767,"We need to improve decisions that help us strategically prioritize or sequence work.  We put way more work in the system than we can appropriately execute or absorb, and this is driven mostly by a reluctance to prioritize or narrow choices.  It is very hard for the EC to say ""this comes before that"". This is not intended as a criticism of the EC--it feels less like an unwillingness to prioritize and more like something they don't know how to do. If they knew how to do this, I feel sure they would have led themselves to that place already.  We have valued the EC and officers for production and execution, and we are just now starting to value them for strategy.  I think this will take time.",we need to improve decisions that help us strategically prioritize or sequence work we put way more work in the system than we can appropriately execute or absorb and this is driven mostly by a reluctance to prioritize or narrow choices it is very hard for the ec to say this comes before that this is not intended as a criticism of the ec it feels less like an unwillingness to prioritize and more like something they don t know how to do if they knew how to do this i feel sure they would have led themselves to that place already we have valued the ec and officers for production and execution and we are just now starting to value them for strategy i think this will take time,[4]
340,768,Pursuit of capacity solutions vs. adjusting strategy (high volume restaurants),pursuit of capacity solutions vs adjusting strategy high volume restaurants,[53 54]
341,770,"Multi-Restaurant, Relo, Additional Opportunity Operator - significant drag and friction in these practices today.",multi restaurant relo additional opportunity operator significant drag and friction in these practices today,[53]
342,771,Process implementation and new systems with I.T. - add some basic training requirements.,process implementation and new systems with i t add some basic training requirements,[6]
343,775,"low hanging fruit- we over think it then run it up the chain of command; need to act quicker, fail faster",low hanging fruit we over think it then run it up the chain of command need to act quicker fail faster,[13]
344,776,Staff Selection: We are hiring new staff at a rapid rate as an organization. We need to make sure we are taking the time to vet candidates so that we are confident Chick-fil-A is the right fit for them.,staff selection we are hiring new staff at a rapid rate as an organization we need to make sure we are taking the time to vet candidates so that we are confident chick fil a is the right fit for them,[13  2]
345,779,Ability to pivot quickly.,ability to pivot quickly,[13]
346,780,Not out growing our culture.,not out growing our culture,[54  7]
347,783,Lower leadership,lower leadership,[70]
348,785,Providing an opportunity or path for career change within CFA.,providing an opportunity or path for career change within cfa,[3]
349,787,Continue to make staff understand the importance of our Operators to our business and that we are here to serve them.,continue to make staff understand the importance of our operators to our business and that we are here to serve them,[53]
350,789,"Need to re-evaluate the hierarchical structure.  SLOWS the process of moving projects forward by a frustrating degree.  Decisions made in mid- stream to separate supporting departments to service different parts of the business.  Ex. Operators and staff: Expertise is moved out of reach for one or the other ""customer"".  Departments are divided up to serve different parts of the business and experts are pigeon holed to one part of the business with limited or no cross over.   Cost time and MONEY and puts a high degree of risk for making the deadline when the project which has been in production for over a year has to WAIT until appropriate staff are hired and trained appropriately.   Contracts are in place and Vendor partners are well aware that CFA looks disorganized and uncaring about contractual commitments.   Not to mentioned the stress it puts on the project lead and department trying to fill in the gaps to keep the project moving forward.",need to re evaluate the hierarchical structure slows the process of moving projects forward by a frustrating degree decisions made in mid stream to separate supporting departments to service different parts of the business ex operators and staff expertise is moved out of reach for one or the other customer departments are divided up to serve different parts of the business and experts are pigeon holed to one part of the business with limited or no cross over cost time and money and puts a high degree of risk for making the deadline when the project which has been in production for over a year has to wait until appropriate staff are hired and trained appropriately contracts are in place and vendor partners are well aware that cfa looks disorganized and uncaring about contractual commitments not to mentioned the stress it puts on the project lead and department trying to fill in the gaps to keep the project moving forward,[53 13 52]
351,793,"communication -- we do well at sharing info in some areas, but not in others; every department needs to be held to the same expectations of who to ask/tell/etc.",communication we do well at sharing info in some areas but not in others every department needs to be held to the same expectations of who to ask tell etc,[52  8]
352,795,To be careful not to compromise our core values and corporate purpose statement by following man's ways or a liberal culture.,to be careful not to compromise our core values and corporate purpose statement by following man s ways or a liberal culture,[7]
353,798,DEI is a great entity; need more diverse Leadership,dei is a great entity need more diverse leadership,[70 69]
354,801,"This is hard to say, but CFA has a tough time releasing people who are constantly causing issues for other team members.",this is hard to say but cfa has a tough time releasing people who are constantly causing issues for other team members,[53]
355,802,Lower to middle management make decisions that do not support the culture of CFA.,lower to middle management make decisions that do not support the culture of cfa,[7]
356,804,Lower level decisions (departmental). Hiring the best fit candidate for roles.,lower level decisions departmental hiring the best fit candidate for roles,[ 2 52]
357,806,Talent- hiring,talent hiring,[2]
358,813,"Staffing Decisions:  Let Staff go who are reported multiple times over with insubordination and negatively affect team collaboration, efficiency and culture.",staffing decisions let staff go who are reported multiple times over with insubordination and negatively affect team collaboration efficiency and culture,[2 7]
359,818,I feel we've heavily invested in one company for much of our technology and infrastructure. There have been times when they are unable to provide the needed support or service. Being so heavily invested makes changing difficult. We're a very agile organization and we need agile business partners too.,i feel we ve heavily invested in one company for much of our technology and infrastructure there have been times when they are unable to provide the needed support or service being so heavily invested makes changing difficult we re a very agile organization and we need agile business partners too,[6]
360,819,Work processes in the technology area.,work processes in the technology area,[6]
361,820,"Execution decisions on how to implement organizational changes (restructures, org design, etc.).  When to time transitions, methods of communication, how people get selected/moved, integrations with other changes, desired outcomes for changes, metrics to understand effectiveness, consideration of training & development support; outlining new expectations - all of this type of change management is done very poorly here.",execution decisions on how to implement organizational changes restructures org design etc when to time transitions methods of communication how people get selected moved integrations with other changes desired outcomes for changes metrics to understand effectiveness consideration of training development support outlining new expectations all of this type of change management is done very poorly here,[8]
362,823,"Intermediate term, large investments. When outcomes are not clear or ROI is uncertain, we can be indecisive and often allow too many competing voices to give input which makes getting started and continuing in the early stages of a project difficult for those responsible for leading the work",intermediate term large investments when outcomes are not clear or roi is uncertain we can be indecisive and often allow too many competing voices to give input which makes getting started and continuing in the early stages of a project difficult for those responsible for leading the work,[12]
363,825,Customer impacting,customer impacting,[53]
364,829,"Decisions that happen at the department level. With the speed at which Chick-fil-A moves, departmental silos create ineffective communication, resulting in the need to improve ""connected decision making"" across departments.",decisions that happen at the department level with the speed at which chick fil a moves departmental silos create ineffective communication resulting in the need to improve connected decision making across departments,[13 52  8]
365,830,"Technology and infrastructure. We lag in internal systems. Badly. (InFORM, even the move to Oracle feels cumbersome and there are MUCH more efficient ways to acomplish this)",technology and infrastructure we lag in internal systems badly inform even the move to oracle feels cumbersome and there are much more efficient ways to acomplish this,[6]
366,832,"We make poor hiring decisions. In our dept, we tend to hire based on favoritism (or political clout) versus whether they are actually qualified to do the job. This leaves people feeling like they do not have a future in our dept if they are not a favorite. Everyone knows who the favorites are and watches them get opportunity after opportunity while people who are not favored but more qualified get constantly overlooked.",we make poor hiring decisions in our dept we tend to hire based on favoritism or political clout versus whether they are actually qualified to do the job this leaves people feeling like they do not have a future in our dept if they are not a favorite everyone knows who the favorites are and watches them get opportunity after opportunity while people who are not favored but more qualified get constantly overlooked,[2]
367,833,"making some of the leveling more fair and equal.  there are departments within CFA that level up work significantly higher than other departments.   I could be doing something in one department at a 9 and that same description of work could be an 11 in other areas.  Also, some times, an entire team gets releveled and there are people within that team that are not even doing the work of the current/previous level but they get bumped up just because they are on the team.  There are many teams that very differently skilled people all sitting at the same level that are not performing at the same level.  Lastly, there are people making much more money than others at the same level and it isn't because of skill or performance.  Its carry over from being field facing at some point in time.",making some of the leveling more fair and equal there are departments within cfa that level up work significantly higher than other departments i could be doing something in one department at a and that same description of work could be an in other areas also some times an entire team gets releveled and there are people within that team that are not even doing the work of the current previous level but they get bumped up just because they are on the team there are many teams that very differently skilled people all sitting at the same level that are not performing at the same level lastly there are people making much more money than others at the same level and it isn t because of skill or performance its carry over from being field facing at some point in time,[52]
368,835,"Decisions that may be perceived as negative, such as stopping or de-prioritizing an initiative. We need to be comfortable with making strategic decisions earlier on what to pursue but more importantly, what not to pursue.",decisions that may be perceived as negative such as stopping or de prioritizing an initiative we need to be comfortable with making strategic decisions earlier on what to pursue but more importantly what not to pursue,[4]
369,837,"The vision and strategy for international expansion are not clear. It seems elusive and secretive and the perception is that if there is a strategy, it is not well thought out.",the vision and strategy for international expansion are not clear it seems elusive and secretive and the perception is that if there is a strategy it is not well thought out,[12]
370,840,"When organizational change decisions are made CFA could do a better job of recognizing the need for and putting in place a change management strategy.  Elements of a change plan include bringing Staff along before the changes are made (communicating with them as people who have a need and right to know and who can handle change) and putting in place resources, systems and processes to enable the organization to support/adopt the changes after they go into place.",when organizational change decisions are made cfa could do a better job of recognizing the need for and putting in place a change management strategy elements of a change plan include bringing staff along before the changes are made communicating with them as people who have a need and right to know and who can handle change and putting in place resources systems and processes to enable the organization to support adopt the changes after they go into place,[8]
371,842,"Org structure. Our current structure contains some misalignments that overcomplicate delivery, slow us down, and create debate unnecessarily about decision ownership.",org structure our current structure contains some misalignments that overcomplicate delivery slow us down and create debate unnecessarily about decision ownership,[13]
372,846,Communication with candidates when they are interviewing.  The process is entirely too long and dishonors people's time.,communication with candidates when they are interviewing the process is entirely too long and dishonors people s time,[2 8]
373,847,We could improve organizational decisions by being clearer and simpler.,we could improve organizational decisions by being clearer and simpler,[12]
374,849,Decisions around technology for staff.,decisions around technology for staff,[6]
375,853,"In my role, I am rarely empowered to make ""decisions"". I create recommendations that then have to be shared with others for input. The ability to actually make a decision and move forward would greatly increase the speed with which I can do my job. Instead, it's an entire process of ""running things up the hierarchy"" before a decision is made which sometimes adds months to the timelines.",in my role i am rarely empowered to make decisions i create recommendations that then have to be shared with others for input the ability to actually make a decision and move forward would greatly increase the speed with which i can do my job instead it s an entire process of running things up the hierarchy before a decision is made which sometimes adds months to the timelines,[13]
376,855,"Provide cohesive technology solutions - within in each department I have worked, that leadership team has decided on technology solutions because the current ""tool box"" offered doesn't perform as needed or DTT is unable to move as quickly as needed. Utilizing Teams over Bluejeans when Macs don't seem to operate as well using Teams.",provide cohesive technology solutions within in each department i have worked that leadership team has decided on technology solutions because the current tool box offered doesn t perform as needed or dtt is unable to move as quickly as needed utilizing teams over bluejeans when macs don t seem to operate as well using teams,[13 52  6]
377,857,"It bothers me so much that CFA puts me and others like me in a box. I do not have a degree. My department has (during a reorg) put me in a position that had a preferred requirement of a masters degree and yet, I can't even apply for or get very far in the application process I want to apply for even for a preferred requirement of a bachelors degree. I have proven I do not need a degree to be successful but some how CFA has chosen to tell me what I can do by putting me in a position (with high requirements) when it fits their need but not when I want to grow and try a new position that I would excel in. Bet on people. Especially when they are already your people with a great track record.",it bothers me so much that cfa puts me and others like me in a box i do not have a degree my department has during a reorg put me in a position that had a preferred requirement of a masters degree and yet i can t even apply for or get very far in the application process i want to apply for even for a preferred requirement of a bachelors degree i have proven i do not need a degree to be successful but some how cfa has chosen to tell me what i can do by putting me in a position with high requirements when it fits their need but not when i want to grow and try a new position that i would excel in bet on people especially when they are already your people with a great track record,[3]
378,859,"DIVERSITY decisions - appearance, thoughts, etc. Everyone shouldn't look the same at CFA (all white men) or majority White women. Everyone doesn't have to think the same either. Jesus is love. Spread more of that and don't be so committed to antiquated ways of thinking. CFA is and has made improvements, but let's keep it going.",diversity decisions appearance thoughts etc everyone shouldn t look the same at cfa all white men or majority white women everyone doesn t have to think the same either jesus is love spread more of that and don t be so committed to antiquated ways of thinking cfa is and has made improvements but let s keep it going,[69]
379,860,The rate of speed to make decisions can be slow but I know it is because they are careful and cautious.,the rate of speed to make decisions can be slow but i know it is because they are careful and cautious,[13]
380,864,"Hiring decisions. It seems like Chick-fil-A, Inc.'s middle management makes hiring decisions that do not make sense. For example, a contractor who is doing amazing work for our company for almost 10 years doing the exact same work as a staff position applies for a position and gets turned down because they don't have a college degree even though there are several (10+) co-workers recommending this person and has proof of her work to show that she deserves the position.",hiring decisions it seems like chick fil a inc s middle management makes hiring decisions that do not make sense for example a contractor who is doing amazing work for our company for almost years doing the exact same work as a staff position applies for a position and gets turned down because they don t have a college degree even though there are several co workers recommending this person and has proof of her work to show that she deserves the position,[2]
381,866,"Internal hires or moves. Though the focus on ""how"" is important, as well as a culture fit..If the person is not equipped to do the job well or not a good fit for the position, that will eventually have a negative impact on their performance as well as the work of others around them.",internal hires or moves though the focus on how is important as well as a culture fit if the person is not equipped to do the job well or not a good fit for the position that will eventually have a negative impact on their performance as well as the work of others around them,[2 3 7]
382,868,"As we grow larger as a company, decisions with small financial impact or decisions that affect only internal Support Center teams should be owned at the individual team or workstream level.",as we grow larger as a company decisions with small financial impact or decisions that affect only internal support center teams should be owned at the individual team or workstream level,[54]
383,872,"Organizational priorities - the pace of the business is moving so rapidly, and we need departments to align to THE organizational priorities, not add additional priorities to the strategic bets/organization priorities. Too many priorities means nothing will be priority.",organizational priorities the pace of the business is moving so rapidly and we need departments to align to the organizational priorities not add additional priorities to the strategic bets organization priorities too many priorities means nothing will be priority,[13 52  4]
384,873,"CFA is so focused on growing people and giving people other opportunities within CFA, that when a person moves roles, their vacated role puts a burden on those left behind.  CFA hires excellent people but they need to do it faster, much faster.   And hiring so many people.  I know CFA does not want to lay people off and we are only growing so I don't really see that happening, but it is a little unnerving with CFA hiring so many people.",cfa is so focused on growing people and giving people other opportunities within cfa that when a person moves roles their vacated role puts a burden on those left behind cfa hires excellent people but they need to do it faster much faster and hiring so many people i know cfa does not want to lay people off and we are only growing so i don t really see that happening but it is a little unnerving with cfa hiring so many people,[13  3]
385,874,"Mid-level leadership. I am curious how we both better evaluate and pour into mid-level leadership. I have heard from mid-level leaders that they have never received constructive feedback in their career and yet their direct reports and colleagues are sharing the feedback with others. I have also experienced some negative HR comments from leaders as well as direct lies because they felt like they were not able to share the full story. Leaders need to be coached on a balance between discretion and transparency and knowing that it is okay to say ""I am not able to provide more information at this time"". The coaching can also extend to including an individual on their career journey and not making assumptions on whether they do/do not want to take on work based on their home situation/maternity leaves.",mid level leadership i am curious how we both better evaluate and pour into mid level leadership i have heard from mid level leaders that they have never received constructive feedback in their career and yet their direct reports and colleagues are sharing the feedback with others i have also experienced some negative hr comments from leaders as well as direct lies because they felt like they were not able to share the full story leaders need to be coached on a balance between discretion and transparency and knowing that it is okay to say i am not able to provide more information at this time the coaching can also extend to including an individual on their career journey and not making assumptions on whether they do do not want to take on work based on their home situation maternity leaves,[70  3]
