NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000815,"Role clarity between departments is sometimes a grey line. For example, all of the data work happening across the organization, who does what when it comes to data could be improved.",5,52,71,,,,,,,
10000816,How money and resources are allocated. Perhaps we should consider a zero-based budget. There is incredible incentive for managers to fight (and then hoard) people and funding.,98,,,,,,,,,
10000817,Decisions that should be used to hold people/groups accountable to (i.e. department budgets),98,,,,,,,,,
10000818,Data informed decisions - we are growing too fast to not rely more on data.,54,13,,,,,,,,
10000822,"From a financial standpoint, I think recent sales growth has shrouded some of the areas where we can increase our stewardship. Increased financial diligence and emergency preparedness may help us lean into our strategic moves with a ""be prepared"" attitude, in case we are not blessed with such rapid growth in the future.",54,13,,,,,,,,
10000825,technology decisions,6,,,,,,,,,
10000826,"All approvals seem to take ages, even when process is in place.",34,,,,,,,,,
10000827,"Tactical decisions, particularly regarding technologies.",6,,,,,,,,,
10000828,n/a,99,,,,,,,,,
10000829,"Decisions that cross departmental silos. Who owns the ""D?""",52,71,63,,,,,,,
10000830,Decisions which must be made in a limited time frame (many times we seek alignment from so many groups that it can cause delays in delivery),98,,,,,,,,,
10000832,Restructuring departments with little empathy for residual effects on staff,5,52,,,,,,,,
10000834,CFA will reorganize departments without sufficient explanation or plans in place.  The end result is confusion about job roles and more work on the staff to try to figure out the transition.,52,5,,,,,,,,
10000836,Technology choices,6,,,,,,,,,
10000837,There is always room for improvement around people/staffing decisions.,2,,,,,,,,,
10000838,"Strategic Business Decisions- I think this can be a struggle for any large organization, especially one that is growing as fast as Chick-fil-A; generally speaking, I think it's always helpful to understand how a strategic decision will impact Staff especially at the Operational level (i.e. do we have the right resources (people, tools, etc.) to execute on a decision)",54,13,,,,,,,,
10000839,REF,99,,,,,,,,,
10000840,REF,99,,,,,,,,,
10000842,REF,99,,,,,,,,,
10000843,Better Technology to Integrate- Operator with Support Center,6,53,,,,,,,,
10000844,New hires timeframe,2,,,,,,,,,
10000845,"Certain decisions regarding operators/staff interconnectedness.  Of course staff would not have jobs without operators and we are so blessed to benefit from the great work they do, there are certain things that operators likely do not care we have to ""match"" each other on. There will always be some degree of feeling separate from the other based on the nature of the difference in roles, and I think most understand that at this point, and staff want to support operators in the absolute best way possible. I would say there is definitely value in focusing energy on how staff can best support operators quickly and effectively, and taking that feedback from operators on a regular basis. I think most operators / staff go into their role understanding that operators did not sign up to be support staff, vice versa. Ex: waiting until recent years to remove facial hair guidelines, certain communications about expectations on how staff support in WFH environment.",8,11,20,53,69,13,,,,
10000848,Cross functional decisions were multiple teams are impacted.  It seems to take too long to gain consensus and alignment.,15,,,,,,,,,
10000849,Sometimes timing and communication of major organization changes could be improved.,8,,,,,,,,,
10000850,Public Relations.  The comments made by our CEO about his personal beliefs have had long-lasting effects that have negatively affected our brand.,98,,,,,,,,,
10000851,Staff in many areas are just tapped out from the constant extreme ?pedal to the metal? pace. We can?t continue to be all things to all people. Every initiative cannot and should not be executed. New initiatives should be evaluated thoroughly from the POS to the bank to ensure a good idea in the beginning doesn?t turn into a financial money pit using people resources that are better used elsewhere.,98,,,,,,,,,
10000853,REF,99,,,,,,,,,
10000854,"CFA struggles around decisions that can tend to have a political side in nature. We try to tow the line too much, when I think most people would just prefer to be told one way or another. Either make people get vaccinated or not, the choice idea can cause more confusion/harm than it can help. Just make a stand and stick to it.",45,72,,,,,,,,
10000855,"Decisions that have impacts across a wide range of areas. It is my perception that the high level impact areas are considered, while some of the necessary technical areas required to support the decisions are not.  For instance, it would be helpful to include representation of areas that will be required to facilitate the work impacted by decisions early.",98,,,,,,,,,
10000858,Hiring decisions can take too long - HR process. May be missing out on quality employees,2,,,,,,,,,
10000859,REF,99,,,,,,,,,
10000860,Mask mandates inside the buildings,72,,,,,,,,,
10000863,the decisions regarding reorganizational structure of lower (non-executive)  teams. Myself and a lot of other co-workers have been shuffled around teams and org structures many times. This causes confusion and frustration,5,,,,,,,,,
10000865,REF,99,,,,,,,,,
10000866,"Decisions that are Operator facing, specifically around communication.",53,8,,,,,,,,
10000867,Incentive related decisions.,20,,,,,,,,,
10000868,"Adapt on the early side with technology. We do well when we do move, but sometimes it feels a little late",6,,,,,,,,,
10000869,Hiring decisions and the speed at which those occur.,2,13,,,,,,,,
10000870,"Delegating decision making down to the right levels and empowering those people to own the decision.  There are many circumstances where we attempt to delegate but then leadership steps in and may add additional ""red tape"" that slows decision making down.  This can also lead to staff feeling unappreciated and not trusted.",70,13,36,22,41,,,,,
10000872,"Food at the Support Center is really a struggle. I know that employees are all so grateful that food is offered at all, but if we are required to be in the office on avg 10 days/month, and there aren't many food options around the Support Center, a more diverse and *healthy* set of options is greatly needed. We miss the salad bar! Hanna Brothers food is so heavy.",98,,,,,,,,,
10000873,Enterprise Applications- decision on which suite of tools CFA staff should use and provide training related to those (e.g. Atlassian products),17,,,,,,,,,
10000874,CFA needs to lean into conversations if a role outgrows an individual,98,,,,,,,,,
10000875,Investing in systems to improve our work. Often times budgetary constraints get in the way and we don't have the funding necessary to make our systems work optimally.,6,,,,,,,,,
10000876,"New software solutions. It takes a very long time for anything to make it through the testing/verification process to be used either in the Restaurant or at the Support Center. We currently tack on these decisions and work to people who already have full work loads. Instead of shifting work to allow people adequate capacity to get this work done timely, it drags on for months to years because each decision isn?t given the specific attention it needs.",6,53,54,,,,,,,
10000879,REF,99,,,,,,,,,
10000880,"Deadline decisions on new innovations that cause poor planning and large amounts of rework later. Rework can include the need to try and rebuild data infrastructure for reporting, figuring out how to integrate poorly assembled systems, etc.",6,66,,,,,,,,
10000881,"Top-down executive decisions about strategic bets - when an EC member gives direction to do something, people execute it at all costs - even if that means operating in a silo, going against SME recommendations, telling vs. asking.  There is a growing, dangerous culture of top-down, speed-above-all-else, ""get out of my way"" mentality disguised as agile and empowered by ""EC orders"".  I would like to see us move back toward thoughtful, trusting, collaborative partnership with those closest to the work who can challenge each other and the EC professionally.  We've been drifting from this for several years, and it is accelerating at a rapid pace.",7,9,13,50,22,41,63,,,
10000882,REF,99,,,,,,,,,
10000885,We do not face hard people decisions or low performance people decisions well.,27,,,,,,,,,
10000886,Can people be in people leading positions not in ATL?  I know this is small potatoes but it is real.,98,,,,,,,,,
10000887,Chick-fil-A should create a 2 year corporate leadership training program so that staff can build their business acumen and influence of relationships. Program should be project based with a clear purpose.,17,70,,,,,,,,
10000889,"Better timing for Planning- It's tough to make future plans, budget and resource requests in May/June the prior year.",98,,,,,,,,,
10000890,"Where they hire staff members from and where they recruit. Too much of the recruiting process is done because there are ""connections"" at a certain school and not because there is untapped potential coming out of a school. This has created an environment that is EXTREMELY undiverse from a geographic perspective. We need to hire from outside of Georgia, Florida, Alabama, and the Carolinas. And when going out of these states, we need to not just focus on schools that we perceive as ""Christian"" universities.",69,,,,,,,,,
10000891,Creating a diverse culture where true differences are appreciated and valued,7,69,,,,,,,,
10000892,REF,99,,,,,,,,,
10000893,"So many disjointed systems exist in the restaurant that do not talk to others.  Pursuing independent solutions without thinking through the aspect of integration with other systems is my #1 piece of feedback.  This shows up at the Support Center as well, but Operators definitely feel it in the restaurant.",6,53,,,,,,,,
10000894,"Decisions around use of staff's time - for example, there are too many meetings with unclear or low-value outcomes. Often, these meetings can impede progress and result in delays in responding to Operator and business needs. One way leaders can address this problem is by determining if there is a better channel to deliver information (especially when the purpose of a meeting is to inform participants), whether that be a Teams post, email, or video recording. When video updates are recorded, it's really helpful to be able to watch at 2 times speed to save time.",14,12,,,,,,,,
10000896,Political ones.,45,,,,,,,,,
10000897,Timeline on testing improvements.  The day-to-day business is moving at a rapid pace and decisions need to move just as quickly.  We have a number of antiquated systems that need to be updated and updated fast.,13,32,,,,,,,,
10000898,Masks at the Support Center- this is not a sustainable way to work and truly is counter to our culture of smiling and eye contact at work. It really destroys the culture.,7,72,29,,,,,,,
10000899,"Resourcing and prioritizing analytic tools and resources, particularly forward looking insights and projections in support of Operators so they can understand impacts to their businesses (especially expenses and profit margin) going forward",6,4,,,,,,,,
10000903,Speed of solutions to restaurants,53,13,,,,,,,,
10000904,"People decisions, who gets the opportunity to lead",98,,,,,,,,,
10000905,Staff rules and regulations - seems to be A LOT lately that don't feel like they make sense.  Sitting in a conference room or workspace with a mask on when you are vaccinated.,72,,,,,,,,,
10000906,Headcount efficiency.,2,,,,,,,,,
10000907,Allowing those closest to the work to have a voice in functional decisions. The biggest hindrance to my job as an analyst is that others in the business make decisions about data (either storage of or access to) that result in my time being spent jumping through superfluous hurdles instead of leveraging data to provide insights to influence more informed decisions (which is the biggest value an analyst can bring).,41,,,,,,,,,
10000908,REF,99,,,,,,,,,
10000909,Hiring decisions (more so speed than quality of decision),13,2,,,,,,,,
10000910,"At times, there seems to be a lot of focus and stress on low value short-term decisions that slow progress down. Usually progress is slowed down by the feeling that many stakeholders always need to be involved.",13,,,,,,,,,
10000911,re-evaluating the infrastructure of data systems since the business is becoming so dependent on data. many of the systems are legacy and outdated and do not align with each other,6,,,,,,,,,
10000913,REF,99,,,,,,,,,
10000915,"Hiring decisions can drag on (4 months for an internal move, 5-8 months for an external hire)",2,,,,,,,,,
10000917,Talent recruitment (where we are recruiting Talent),2,,,,,,,,,
10000919,time sensitive decisions,98,,,,,,,,,
10000920,"Promotions - So much more ""red tape"" and steps to go through for a simple promotion when the work has changed and progression roles.",3,36,,,,,,,,
10000921,"While I appreciate the attempt to look at consistency across the organization regarding role leveling, the process is too time consuming and often not approached consistently.  Sometimes a role is new and it just isn't comparable to other roles within the organization.   Also, many people have shared concerns about reorgs and how positions are posted as opportunities and people want to know how to be one of the selected few.",57,61,,,,,,,,
10000922,REF,99,,,,,,,,,
10000923,"We've gotten so big that bureaucracy has become inevitable.  The Planning and Budgeting process is cumbersome, time-consuming, and ultimately doesn't enable us to complete projects in a timely manner.  It can be frustrating when trying to gain support for projects and the ability to actually complete them, specifically when it comes to DTT resources.  We can obtain approval from our whole department for a project, dollars to fund the project, but we can't get the leadership or support for the project from DTT to get the project across the finish line in a given calendar year.  Either DTT has become too segmented (no clear owner when a project spans multiple platforms) and/or DTT resources are not aligned well with approved projects.",6,52,36,34,,,,,,
10000925,REF,99,,,,,,,,,
10000926,Strategic planning ahead to prepare for organizational structure changes.,5,,,,,,,,,
10000929,"Chick-fil-A announced to staff that it should rarely work in the office and keep their distance unless absolutely necessary, but then told Operators on a field talk live later that week that The Support center is open and running. This seemed deceiving and confusing for staff as we are trying to navigate.",53,,,,,,,,,
10000930,NOT COMPLYING WITH UNLAWFUL VACCINE MANDATES.,37,72,,,,,,,,
10000933,Timing of selecting candidates - The lengthy process can create a bottleneck as the needs for people/headcount can sometimes take too long to fill,2,,,,,,,,,
10000934,"People (recruiting, selecting, hiring, promoting, movement).",98,,,,,,,,,
10000935,REF,99,,,,,,,,,
10000936,REF,99,,,,,,,,,
10000937,Recruiting and bringing in more diverse talent.,2,69,,,,,,,,
10000940,COVID measures and respecting personal choice in the matter of masks,98,,,,,,,,,
10000941,Staff culture decisions seem to be unstable these days with contradictions (e.g. Libby saying stay away from the office if possible to save the world from COVID and then Andrew telling Operators to take heart in that the office is open and there are hundreds of people there).,7,53,72,,,,,,,
10000943,REF,99,,,,,,,,,
10000944,Hiring for new roles of internal talent - more support and transparency on internal job opportunities.,2,19,,,,,,,,
10000946,Departmental decisions need improvements,52,,,,,,,,,
10000947,REF,99,,,,,,,,,
10000948,Chick-fil-A needs to improve the project budgeting decision-making process.,98,,,,,,,,,
10000949,"Career progression seems to be convoluted and inconsistent. Often times tangible changes don't result in promotion or title change, and instead it's a matter of tenure. I was moved into a completely different role without any discussion. The role is well outside my skillset and did not result in a title change.",3,61,,,,,,,,
10000950,REF,99,,,,,,,,,
10000951,REF,99,,,,,,,,,
10000952,"Decisions that involve keeping up with the marketplace/competitors, like wearing certain attire in the office - when CFA wen to business casual, lots of organizations had already implemented jeans every day. Currently, I don't know a single corporate friend who doesn't wear jeans to the office everyday.",98,,,,,,,,,
10000953,"What we SAY and then what we actually DO in the talent management system. We SAY that it should function one way based on all the pretty charts, but in reality it does not. It is not clear what roles true opportunities and what are just ""check the box"" postings when someone is already selected for a role.",2,,,,,,,,,
10000955,Staff decisions - more choice,98,,,,,,,,,
10000956,"Leveling. - There are certain departments where higher levels are given at a dime a dozen, and then other departments that are more frugal or stingy.  I distinctly remember AN ENTIRE team getting promoted from Consultant to Sr. Consultant ""because field ops was that way.""   -   Is leveling just politics? Do i just need to ""get into the right department"" to advance my career?",3,57,52,,,,,,,
10000958,"Flexible dress (jeans) and letting go of outdated policies, need to keep up with perks in office like the rest of the world",11,64,,,,,,,,
10000959,"I think Inc. should be more open to listening to the millennials/gen z of staff. For example, in the last atrium talk the question was asked if more casual dress would be considered, and the answer was no due to standards of professionalism. I think that this mindset is very outdated. Wearing jeans and a blouse does not equate to being unprofessional. I view the Support Center as a very welcoming and fun environment and I actually think more relaxed dress aligns to the atmosphere. It would also be an incentive to want to be back in the office. There are plenty of organizations who have implemented ""Dress for your day"".",11,38,,,,,,,,
10000960,REF,99,,,,,,,,,
10000961,"The decision for Covid testing moving forward does not seem like much thought was put into it. Why would we not test every employee since science has shown that everyone (vaccinated or unvaccinated) can carry the virus? Science also shows that vaccinated individuals are more likely to be carriers of the virus and be asymptomatic which imposes a bigger risk to individuals who are not vaccinated. If we are implementing testing to keep everyone safe, everyone should be tested weekly, regardless of vaccination status.",37,72,,,,,,,,
10000962,"I think as the organization gets bigger it is important we make decisions where we are aligned, so continue informing and communicating because it helps.",8,,,,,,,,,
10000963,Don't immediately give operators what they're asking for. We don't have to say yes to everything.,53,,,,,,,,,
10000964,REF,99,,,,,,,,,
10000965,Technology & software needed for various departments/roles,6,,,,,,,,,
10000966,"They are way too involved in politics and political correctness than running a chicken company.  We are losing the core of who Chick-fil-A is and conforming to something that every other company is.  There isn't much that is special about the CFA culture anymore versus any other large company at this point.  They are regurgitating what the politicians and lined pockets are saying and not looking at the reality of the situations and facts, and trying to do what's popular.  How any of this is being handled (the Support Center and JCCC) are not popular opinion.  They're just the mainstream media (loud) opinion.",7,45,,,,,,,,
10000967,"I realize this is very specific and cannot be applied to the company as a generalization but the decision to require masks and weekly test unvaccinated employees is in very poor taste and is discriminatory. It has made me lose a lot of faith in our leadership and their discernment. CFA needs to make their decisions more logically and not based on the OSHA mandate which is not even a law and I expected a lot more from company who wants to be ""caring.""",24,72,,,,,,,,
10000969,REF,99,,,,,,,,,
10000971,"How to move work forward faster and get approval for items that have a long term impact to budget.  If something is not critical, but is beneficial, sometimes it gets pushed to the bottom of the priority.  I do think dynamic resourcing and givebacks have begun to help change this.",4,13,34,,,,,,,
10000972,REF,99,,,,,,,,,
10000973,REF,99,,,,,,,,,
10000974,"Doing away with ""what's always been done""",98,,,,,,,,,
10000975,REF,99,,,,,,,,,
10000976,REF,99,,,,,,,,,
10000977,DTT enablement/more resources for the systems at CFA,98,,,,,,,,,
10000979,timing of making changes.  lots and lots of changes in systems processes etc causing company wide burnout,98,,,,,,,,,
10000980,Making timely decisions on logistical moves.,98,,,,,,,,,
10000981,"It seems not everyone has had the same experience as me feeling seen. We did an anonymous survey where people said they struggled with that, but as far as I know there was no follow-up.",98,,,,,,,,,
10000983,"Where staff sits at Support Center.  I need my own office to work.  I want some personal items around me each day so it doesn't feel so ""cold"".  I will be more productive in a space that isn't shared with others.",98,,,,,,,,,
10000984,Being willing to fit against the establishment and stand up for employees right to choose what they put on and in their body.,98,,,,,,,,,
10000985,"Chick-fil-A, Inc. needs to improve decisions that affect individuals beliefs. I understand the requirements when it comes to follow rule set in place that we cannot avoid, but the messages and temperament of the leaders communicating things can improve. A specific example, is when Dan recorded a video from a funeral, basically shaming people into getting the vaccine. It was not received well by some, in his message, Dan choose some poor words around ""if this person was vaccinated, he may still be with us"". I thought that was very poorly said. It made me think that Dan had given up on trusting in God's plans and his faith to rely on medicine.",72,8,,,,,,,,
10000986,REF,99,,,,,,,,,
10000988,don't know.,98,,,,,,,,,
10000989,REF,99,,,,,,,,,
10000990,"I feel there is a lot of disconnect in the decisions made around mandates and testing. I appreciate the choice of getting vaccinated or testing, however I truly believe if it's in the best interest of Chick-fil-A to keep everyone safe, we would test everyone. Those who are vaccinated are more likely to spread the virus due to suppressed symptoms, but they are not required to test or possibly wear a mask in the future. This logic doesn't make sense.",72,,,,,,,,,
10000991,REF,99,,,,,,,,,
10000992,"the next level down below EC/Officers: Better communicate, share decisions within strategic bets' programs of work or departments; initiatives/programs/projects that may impact other groups/departments.",9,52,8,70,,,,,,
10000995,"This isn't a type of decision, but decisions feel quite hierarchical and I'd love to see other ""levels"" having a voice in decision-making!",36,,,,,,,,,
10000997,"Less emphasis on constant long term planning. The past 2 years are evidence that we need to build in flexibility and not be so rigid. Also, plans always change in work priorities.",26,64,4,,,,,,,
10000998,"We were too slow on allowing facial hair and now we are being too slow on ""professional attire"" at the office. Quite frankly, I don't care if the person across the table from me is wearing jeans or slacks - it doesn't change anything about my life or my interaction with them. Let staff dress for their day at both home and the office. Considering the war on talent, this seems like an unnecessary potential detractor for some talent. Why make it harder than it needs to be?",11,69,,,,,,,,
10000999,REF,99,,,,,,,,,
10001000,I honestly cannot think of anythigng.,98,,,,,,,,,
10001001,CFA promotes work/life balance verbally.  Recommend improvement on actions with regards to management to align with words.,98,,,,,,,,,
10001002,none that I know of based on the position that I am and the knowledge that I have.,98,,,,,,,,,
10001003,"I would say Chick-fil-A needs to make decisions quicker. It takes leadership so long to make decisions some times that by the time the execution teams know what to do, it's stressful and produces lower quality work as the estimated time to completion is expected to make up for all the lost time decision making.",70,13,,,,,,,,
10001004,"system updates - some systems are updated or completely retired without proper testing, resulting in issues in the field when changes are pushed to production. These changes are often not communicated well to all affected departments (especially to CFA HELP), significantly increasing the time to identify and fix issues when they do happen.",35,6,8,,,,,,,
10001005,Help bridging the Operator/Staff relationship,53,,,,,,,,,
10001006,More autonomy to staff with how/where to work.,22,,,,,,,,,
10001009,REF,99,,,,,,,,,
10001011,Work Full of Life - Sounds like a gimmick and seems disjointed.,98,,,,,,,,,
10001012,"Strategic decisions, especially with regard to the number of priorities.",4,,,,,,,,,
10001014,enable tactical teams to move quickly,13,,,,,,,,,
10001015,We have too many priorities.,4,,,,,,,,,
10001017,Enterprise portfolio management,98,,,,,,,,,
10001019,Decisions that impact multiple departments (require alignment),52,,,,,,,,,
10001020,Sometimes - timing of big decisions is a long process because many people to consult with first  (which can be a good thing too).,98,,,,,,,,,
10001021,"Internal mid to low level HR decisions, such as hiring decisions, promotions, minor org structure changes. Often each of these are plagued by taking to long or by being too complex or unclear.",5,2,3,39,,,,,,
10001023,REF,99,,,,,,,,,
10001024,"Tactically/ day-to-day, Chick-fil-A should be able to pivot & re-allocate resources to meet the ever changing needs of the business more quickly",13,,,,,,,,,
10001025,"We need to remove the mask mandate, especially for vaccinated employees. The office is the only place in my life that is still requiring me to wear a mask. The mandate is hardly followed anyway. We need to stop posturing and allow employees to live their lives.",72,,,,,,,,,
10001026,REF,99,,,,,,,,,
10001027,"Most meetings should have an objective, an agenda, and any necessary pre-reads sent a day or more in advance. If there is no objective, the meeting should be canceled. Normalize declining meetings when you feel your presence is unnecessary to the decision at hand.",14,,,,,,,,,
10001029,REF,99,,,,,,,,,
10001031,Looking at how resources are directed. instead of a yearly plan move to planning resources more frequency.,98,,,,,,,,,
10001034,"Chick-fil-A works with a lot of different consulting groups. Many times, I find myself in a meeting where 80% of the room/video call's audience provide zero value to the meeting. That's a lot of wasted time and money in my opinion. We need to be better at who we invite to meetings.",14,,,,,,,,,
10001035,REF,99,,,,,,,,,
10001036,Relying more on data to drive strategic decision making.,59,,,,,,,,,
10001038,How we scale well.,98,,,,,,,,,
10001041,REF,99,,,,,,,,,
10001042,REF,99,,,,,,,,,
10001043,"Requiring deep, robust business cases for approval of budget above certain thresholds (we get money way too easily to ""solution"" things that may not be most important to Operators or the broader organization)",53,34,,,,,,,,
10001046,REF,99,,,,,,,,,
10001051,"1. We take too long to roll out initiatives that are needed to ease the burden of the labor shortage, reduce complexity, increase capacity and improve the Team Member experience in Restaurants.",39,53,58,54,,,,,,
10001053,Timing and process of decision making,98,,,,,,,,,
10001054,"Operator centric versus Staff centric decisions.  For example, in restaurant day isn't effective for staff and not really for Operators.  We need to openly acknowledge that these are two separate roles and their are Pros and Cons associated with each.  We don't ask Operators to work alongside our Legal team when negotiating a contract.  I truly believe Staff and Operators have an appreciation for our different roles.  What is lacking is we no longer have relationships.  I'd rather see us ask Staff to take an Operator to dinner and get to know them than ""work"" an in unit day.  We've lost personal relationships and with that empathy and grace.",53,,,,,,,,,
10001055,REF,99,,,,,,,,,
10001056,"job leveling.  Even though we say ""It's the role, not the person"" there was recently a candidate that was dropped down 2 levels due to experience.",2,57,,,,,,,,
10001058,More rigor around approving headcount - is every role being added warranted to support the business? What happens when sales growth slows and the discipline isn't in place?,2,54,34,,,,,,,
10001059,"Promotion and advancement decisions toward staff.  The pendulum has swung way too far in the direction of catching up with gender and race to the detriment of long-standing, high-performing staff who just are minorities.",3,69,,,,,,,,
10001060,"Better financial stewardship on corporate projects, operations, etc",98,,,,,,,,,
10001061,Job leveling is a good example of where the process can improve.  Very unclear on the why most times.  Very inconsistent.,57,12,61,,,,,,,
10001062,None that I'm aware of.,98,,,,,,,,,
10001063,How do we create systems to meet the demands of our growth?,54,,,,,,,,,
10001065,REF,99,,,,,,,,,
10001067,REF,99,,,,,,,,,
10001068,REF,99,,,,,,,,,
10001071,investment in talent,2,,,,,,,,,
10001074,Some decisions with respect to DTT software/tools/access seem to be made based on job titles or organizational structure instead of being made with respect to the job that needs to be accomplished,5,6,,,,,,,,
10001077,Organizational moves/changes have improved but still need to move more quickly in some instances.,13,,,,,,,,,
10001080,Speed in making decisions that affect change at the restaurant level,53,13,,,,,,,,
10001082,"Supply Chain. Moving product, suppliers, distribution centers, transportation, delivery to Restaurants.",25,53,,,,,,,,
10001083,"Decisions regarding job titles/levels based on the actual work. These should be based on the nature of the work within CFA and not forced to fit into an industry standard job description.  If anything,  there is an ""industry standard"" and a step above that is the CFA standard.",98,,,,,,,,,
10001090,"The budget system, getting quicker to adjust budgets based on need.",13,,,,,,,,,
10001093,Selecting people leaders.,70,,,,,,,,,
10001094,REF,99,,,,,,,,,
10001095,Hiring process. It is very fast now. We need to make sure we take the time to hire the right talent.,2,13,,,,,,,,
10001096,Menu rollout decisions and timeline to get there,10,32,,,,,,,,
10001100,REF,99,,,,,,,,,
10001101,Diversity Equity and Inclusion- need to decide to be actively engaged. The program has been a disappointment because there are no identifiable concrete actions,69,,,,,,,,,
10001103,Sometimes finding the right people/team/department for the right work.  Role clarity would help out tremendously here.,52,71,,,,,,,,
10001104,Newer to the company so I don't have an example but based on the results things seem to handled well.,98,,,,,,,,,
10001105,Staff promotions,3,,,,,,,,,
10001106,REF,99,,,,,,,,,
10001108,Addressing staff member performance.,27,,,,,,,,,
10001109,"I feel like we re-org, change names, and move around too much. We end up not getting work done due to all the changes. We need to improve in this area or at least keep someone in an area long enough to accomplish a goal or task.",98,,,,,,,,,
10001110,"Specification updates and onboarding new suppliers. We cannot take over a year to update specifications. We cannot take 6 months or more to onboard a supplier, especially not at our current growth rate.",54,,,,,,,,,
10001111,Responsibilities for new roles as we continue to expand due to the hyper growth.,54,,,,,,,,,
10001112,Day to day decisions can be delayed due to the need for input from too many people,15,,,,,,,,,
10001115,Some departments are behind and it has taken extreme Operator frustration or crisis to prioritize their investment. e.g. DTT and Supply Chain have needed additional investment over the years and are now catching-up.,25,53,52,4,,,,,,
10001117,Innovation,66,,,,,,,,,
10001120,Being more open to non-cookie cutter Chick-fil-A type people when assessing external talent.,2,,,,,,,,,
10001122,It seems like we are making decisions to grow / build more restaurants quicker than we should... in conversations with Operators I interpret that Operators feel that we should slow down some and many feel pressure that they will have to become multi restaurant Operators.,54,53,13,,,,,,,
10001126,REF,99,,,,,,,,,
10001129,"Stewardship decisions.  There doesn't appear to be a lot of scrutiny around bodies of work within CFA that get disproportionate amount of investment, i.e. where/what is the ROI on dollars and headcount?  It should be shared with Staff and Operators, both to make them aware, but to also hold stakeholders accountable to hitting goals and objectives.",2,53,,,,,,,,
10001130,.,99,,,,,,,,,
10001133,Ones that are longer term(3-5 years out) payback or even neutral payback but necessary to prevent crisis in the future,26,,,,,,,,,
10001134,Contingent suppliers and additional lines to support or protect growth,54,,,,,,,,,
10001135,"It doesn't appear we are hiring employees like we did in the past, sometimes in conversations I wonder ""who are we hiring.""  A lot of the new hires don't understand the CFA culture (challenging when we are not in the office), but it's a key part of who we are and we need to do a better job at allowing new employees to see and understand it.",2,7,,,,,,,,
10001136,"Grace - often spoken highly about as a strength, but is not always extended in practice. Failures and mistakes carry a LONG memory within CFA and will limit opportunities to grow and advance, even after years of positives and improvements.",3,,,,,,,,,
10001137,"- Chick-fil-A does so much for it's employees with daycare option, beautiful offices/resources, generous with money, pension, healthcare, etc. I actually wish Chick-fil-A corporate would be stronger against their employees. Coming from an outside company into Chick-fil-A was a huge blessing because I appreciate everything Chick-fil-A does for me and my family without me having to lift a finger. I think over time people lose this mindset and think they are entitled to more. Chick-fil-A Corporate needs to keep employees happy, but needs to remind us of the great things we get everyday!",98,,,,,,,,,
10001138,"Chick-fil-A often throws a lot of people and money at the problem, which can be a good thing. However, if you don't take the time to understand the problem and the people don't understand their role and end goal, it causes more work and confusion.",98,,,,,,,,,
10001139,REF,99,,,,,,,,,
10001140,"Non-Executive Leadership Placements (just because some people are great team members, doesn't mean they will be effective team leaders)",53,,,,,,,,,
10001142,REF,99,,,,,,,,,
10001143,Red tape around back of house decisions (i.e. do we test this or is more work needed) on small changes that will improve team member experience and have no visible effects to the guests. Need to be able to quickly pivot to give Operators/TMs relief.,53,36,13,,,,,,,
10001144,N/A,99,,,,,,,,,
10001146,We need to bring things to market more quickly.  Time from inception to rollout is often far too long.,13,,,,,,,,,
10001147,"Speak up more when it comes to social justice issues. CFA has a huge platform with a lot of influence. If we truly want to be the world's most caring company, we should start speaking out on behalf of all marginalized communities.",98,,,,,,,,,
10001148,REF,99,,,,,,,,,
10001149,What type of decisions require management approval.  This seems to vary by department.,52,34,,,,,,,,
10001151,Creating a more progressive talent development/management system.,2,,,,,,,,,
10001152,REF,99,,,,,,,,,
10001153,CFA needs to involve people that actually do the day-to-day work in high-level strategic decisions.,98,,,,,,,,,
10001154,REF,99,,,,,,,,,
10001155,"It feels like we've gotten a little sloppy on hiring decisions. We're trying to go faster because we're growing and need more people, but let's not forget quality is still very important.",2,54,13,,,,,,,
10001156,"Vertical integration and risk to culture, partner relationships, and financial perfromance.",7,,,,,,,,,
10001158,New systems and technology that are needed for better productivity.,6,,,,,,,,,
10001160,Planning decisions- time/resources spent to achieve desired outcomes,98,,,,,,,,,
10001161,How we make leadership decisions is secretive and doesn't help people feel confident about their careers.,3,70,,,,,,,,
10001162,"When decisions are made in a room, then side conversations take place. We need to be more candid in the room.",44,,,,,,,,,
10001163,Leveling and Total Rewards,23,57,,,,,,,,
10001164,"A more holistic and futuristic view of how the Organization will best support/drive the most important initiatives (Strategic Bets/Growth opportunities) to include how it is structured and how work is done and flows across functions, people, departments to ensure we are spending our time and energy on what is most important and will most positively affect the entire business so that people feel more empowered and less frustrated and know that what that are doing is adding value and operate at their best/maximum  productivity.",9,54,5,22,,,,,,
10001165,REF,99,,,,,,,,,
10001166,"Consistent ways of working decisions. Multiple ways of working (duplicate tools, processes, and frameworks) decrease productivity.",61,,,,,,,,,
10001167,Frequent decisions that may or may not be time critical.,98,,,,,,,,,
